customer_id,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,default_flag
CUST0128,334770.49,237619.62,Education,757.05,0.0,36,73.93,0
CUST0129,562581.56,549165.05,Car,713.96,1.0,31,53.86,0
CUST0130,394826.07,306635.26,Home,568.89,0.0,45,48.32,1
CUST0131,624626.37,626236.67,Home,644.4,0.0,43,86.4,0
CUST0132,1142930.08,1219607.62,Car,760.55,3.0,33,64.43,1
CUST0133,304323.73,228243.15,Home,605.49,2.0,35,30.32,1
CUST0134,682151.01,165565.32,Other,640.23,0.0,43,80.91,0
CUST0135,1075186.97,540758.93,Home,623.56,2.0,45,73.17,1
CUST0136,619906.91,268557.02,Car,716.15,0.0,49,25.73,0
CUST0137,966655.19,638301.4,Home,752.63,3.0,37,70.67,0
CUST0138,555002.43,445456.9,Home,752.7,1.0,39,35.62,0
CUST0139,714032.02,792606.26,Education,634.57,1.0,59,74.09,1
CUST0140,828323.75,989804.63,Education,715.26,1.0,38,38.0,1
CUST0141,474551.91,232982.99,Home,631.51,2.0,48,34.47,0
CUST0142,1942719.69,1311178.71,Home,676.31,0.0,31,36.29,0
CUST0143,893049.01,906859.15,Home,723.81,0.0,49,27.68,0
CUST0144,1330904.93,646354.96,Business,758.99,1.0,44,21.47,0
CUST0145,1171494.47,1080494.76,Education,550.29,1.0,27,12.9,1
CUST0146,778198.37,239831.11,Home,696.41,0.0,52,26.56,0
CUST0147,1392918.61,1143727.3,Car,781.47,1.0,46,167.67,0
CUST0148,720773.87,426083.65,Business,705.09,1.0,48,57.16,0
CUST0149,435108.73,422203.14,Business,695.37,2.0,45,114.29,1
CUST0150,655319.52,550600.98,Other,653.4,,40,38.38,0
CUST0151,373747.55,127349.54,Car,779.75,1.0,52,35.61,1
CUST0152,204595.53,30000.0,Home,656.41,0.0,45,106.16,0
CUST0153,406699.32,201167.43,Home,683.49,2.0,47,54.3,1
CUST0154,676584.4,740602.91,Business,659.44,1.0,42,27.91,0
CUST0155,1165646.32,1111621.74,Other,697.03,0.0,37,61.75,0
CUST0156,406033.96,311210.5,Car,782.67,1.0,39,84.11,0
CUST0157,1132929.13,538712.4,Car,631.1,0.0,52,22.04,0
CUST0158,333985.21,207128.89,Car,697.32,2.0,41,56.77,1
CUST0159,391989.48,305134.62,Car,715.42,1.0,41,22.78,0
CUST0160,1442320.41,1319975.13,Home,637.2,1.0,42,81.86,0
CUST0161,667249.42,238073.83,Education,686.16,1.0,52,50.5,0
CUST0162,590801.62,605147.43,Home,810.34,2.0,46,61.65,0
CUST0163,739797.39,584912.82,Home,575.05,0.0,38,40.36,0
CUST0164,334772.29,356534.96,Education,662.62,1.0,47,18.46,0
CUST0165,541859.04,564361.65,Home,706.29,0.0,28,36.09,0
CUST0166,650952.06,615003.37,Home,665.56,0.0,34,71.63,0
CUST0167,1279509.24,1189771.28,Car,850.0,1.0,36,121.93,1
CUST0168,259366.71,79454.48,Business,725.66,1.0,50,51.82,1
CUST0169,1714054.74,1792292.3,Business,622.12,0.0,47,31.93,1
CUST0170,606931.6,462754.39,Home,538.11,1.0,51,58.82,1
CUST0171,352893.54,96433.08,Car,712.12,0.0,46,68.48,0
CUST0172,319441.22,146006.02,Home,640.88,0.0,37,48.09,1
CUST0173,755367.58,821189.85,Education,773.78,2.0,58,46.63,1
CUST0174,309824.85,199637.24,Business,672.13,3.0,41,50.07,0
CUST0175,477662.5,213472.08,Business,653.06,0.0,49,45.99,0
CUST0176,566527.53,258803.69,Car,651.96,0.0,49,52.22,0
CUST0177,1219253.44,229739.5,Other,754.12,0.0,38,112.22,0
CUST0178,1138107.15,397363.64,Other,717.01,0.0,32,16.28,1
CUST0179,456380.34,513643.35,Business,804.14,0.0,35,39.94,1
CUST0180,578244.4,629471.81,Education,676.02,2.0,41,28.23,1
CUST0181,270294.11,121156.67,Car,746.05,0.0,58,81.21,0
CUST0182,211763.45,299744.37,Car,747.16,0.0,51,41.94,0
CUST0183,330627.88,269854.55,Home,733.8,0.0,47,59.53,0
CUST0184,1205531.6,724631.11,Home,656.86,0.0,33,91.86,1
CUST0185,998262.99,849101.62,Business,720.77,1.0,44,26.21,0
CUST0186,802604.69,927592.0,Education,683.68,0.0,52,34.57,1
CUST0187,291569.64,81968.95,Other,681.97,0.0,34,87.24,0
CUST0188,439465.67,97830.39,Home,637.62,3.0,34,25.69,0
CUST0189,405520.24,581511.61,Home,552.18,0.0,45,35.16,0
CUST0190,593284.03,337376.41,Business,771.14,0.0,44,20.22,0
CUST0191,573061.42,134133.17,Car,718.05,2.0,46,88.97,1
CUST0192,374613.97,339358.89,Home,602.69,1.0,44,33.65,0
CUST0193,787640.37,687632.55,Other,736.65,0.0,36,53.64,0
CUST0194,737224.8,785278.4,Business,772.43,1.0,47,63.1,0
CUST0195,435336.66,324278.53,Car,740.55,0.0,34,30.12,0
CUST0196,768411.56,323969.44,Business,632.04,2.0,38,17.37,0
CUST0197,1206319.56,1110749.12,Business,642.42,1.0,41,40.32,0
CUST0198,1425682.31,1056288.83,Business,654.39,2.0,47,39.99,1
CUST0199,851361.26,295773.47,Business,745.97,0.0,44,43.66,0
CUST0200,837708.12,708301.38,Home,721.13,3.0,56,43.78,1
CUST0201,569578.13,544408.5,Education,850.0,0.0,38,35.07,0
CUST0202,1145176.96,94236.51,Home,583.34,2.0,42,34.39,0
CUST0203,360783.86,181425.78,Home,686.58,0.0,43,52.22,1
CUST0204,1074477.68,541499.45,Other,564.7,3.0,46,29.81,1
CUST0205,554901.02,260971.93,Education,728.78,3.0,30,42.91,0
CUST0206,1475847.41,896640.75,Business,759.35,2.0,40,33.96,1
CUST0207,898283.65,502194.73,Business,783.74,2.0,38,52.17,1
CUST0208,626185.05,646709.8,Other,702.25,0.0,43,78.33,1
CUST0209,570723.1,321089.33,Business,565.63,0.0,45,79.95,1
CUST0210,867885.19,799181.71,Car,686.74,1.0,44,85.74,0
CUST0211,845045.74,119881.93,Car,718.39,3.0,27,38.08,0
CUST0212,522112.83,494298.32,Home,624.67,1.0,42,39.71,0
CUST0213,683674.57,638794.49,Car,672.78,0.0,42,23.86,0
CUST0214,1064208.82,792166.19,Car,606.99,2.0,49,37.92,1
CUST0215,307085.56,128110.74,Education,650.17,1.0,40,38.6,1
CUST0216,968942.61,773329.76,Education,749.31,1.0,49,33.05,0
CUST0217,865788.27,365446.52,Other,734.21,0.0,49,32.98,0
CUST0218,1248413.06,1395063.71,Business,599.31,2.0,45,19.26,1
CUST0219,438501.32,172599.06,Education,644.18,0.0,40,23.0,0
CUST0220,652046.72,642658.65,Car,693.71,0.0,42,46.01,1
CUST0221,,755082.81,Home,704.72,0.0,37,46.89,0
CUST0222,975851.52,574565.18,Car,646.91,1.0,46,57.29,1
CUST0223,823025.08,745709.39,Business,720.97,2.0,41,39.54,0
CUST0224,328723.53,322674.75,Home,687.71,3.0,30,45.26,1
CUST0225,762838.68,669241.77,Business,522.52,0.0,49,84.09,0
CUST0226,1957254.86,1230884.94,Education,652.84,0.0,41,43.83,0
CUST0227,909994.93,569337.32,Home,650.99,1.0,42,32.81,0
CUST0228,1600222.85,609637.36,Home,734.09,1.0,44,24.81,1
CUST0229,1153615.41,1208445.14,Car,735.24,0.0,50,67.05,1
CUST0230,1375116.08,1076168.31,Car,581.31,1.0,39,19.2,0
CUST0231,770820.19,507591.81,Business,718.5,3.0,47,29.59,0
CUST0232,866088.57,987362.06,Business,685.19,1.0,45,55.48,0
CUST0233,748077.91,143309.71,Education,698.22,1.0,39,17.35,0
CUST0234,651553.71,681461.65,Business,650.1,0.0,50,33.1,1
CUST0235,977677.25,1377991.96,Education,685.98,2.0,47,48.0,0
CUST0236,488051.68,583893.5,Other,764.77,3.0,39,37.15,1
CUST0237,1833409.52,1800000.0,Home,697.29,3.0,37,27.53,1
CUST0238,390163.25,211299.78,Business,687.24,1.0,38,33.45,0
CUST0239,1015600.99,377375.15,Car,658.85,0.0,41,67.7,0
CUST0240,1387476.13,1203494.56,Home,758.4,0.0,38,112.43,0
CUST0241,589827.66,389329.66,Home,606.75,2.0,49,48.25,0
CUST0242,352423.95,54643.28,Education,637.87,2.0,52,16.65,0
CUST0243,1227228.48,1324262.84,Home,603.02,2.0,52,59.78,1
CUST0244,726936.98,276466.88,Home,703.04,0.0,42,36.91,0
CUST0245,1016678.48,1190745.85,Other,766.68,2.0,39,26.02,0
CUST0246,612024.51,520645.33,Business,668.63,0.0,40,30.16,0
CUST0247,1685017.01,1721518.45,Business,620.49,2.0,40,30.81,0
CUST0248,202880.66,196341.21,Business,796.37,4.0,41,22.23,0
CUST0249,799406.85,817478.43,Other,719.33,2.0,36,43.6,0
CUST0250,1359584.72,1342340.07,Education,708.04,0.0,51,112.25,1
CUST0251,688770.99,527539.46,Home,677.64,2.0,52,25.97,0
CUST0252,767600.68,410052.85,Business,733.49,0.0,45,110.54,1
CUST0253,511969.92,408196.07,Business,707.02,1.0,39,49.93,1
CUST0254,657438.38,639488.72,Car,658.72,1.0,49,42.96,1
CUST0255,259161.45,255378.46,Car,669.6,4.0,42,38.31,1
CUST0256,437831.94,123013.78,Car,623.71,0.0,48,30.07,1
CUST0257,421684.35,434969.78,Other,615.6,2.0,43,52.07,1
CUST0258,939164.41,243884.62,Car,670.72,2.0,46,58.42,0
CUST0259,474717.08,457068.46,Other,765.02,2.0,49,13.38,0
CUST0260,482321.45,605617.18,Other,622.78,0.0,48,160.48,1
CUST0261,528009.63,191270.19,Education,744.36,1.0,41,18.2,1
CUST0262,430616.45,529184.37,Education,638.07,2.0,49,34.66,0
CUST0263,753654.93,242215.7,Car,573.87,1.0,53,12.52,1
CUST0264,800046.36,769472.4,Home,725.53,0.0,53,39.36,0
CUST0265,1023243.31,573473.97,Home,795.87,1.0,46,35.73,1
CUST0266,930744.6,838008.78,Business,634.38,2.0,43,34.84,1
CUST0267,880939.65,507972.81,Car,587.96,1.0,43,52.4,0
CUST0268,542419.55,145628.99,Home,719.57,0.0,40,39.84,0
CUST0269,523619.51,339305.49,Home,629.99,2.0,44,58.9,1
CUST0270,402544.77,174398.33,Other,724.88,1.0,35,24.24,1
CUST0271,398572.07,375434.81,Car,764.85,0.0,41,46.78,0
CUST0272,723294.26,205333.32,Other,711.49,0.0,53,32.81,0
CUST0273,437594.88,413493.7,Car,742.63,2.0,46,37.39,1
CUST0274,1457605.99,1653818.41,Education,743.08,2.0,44,51.51,1
CUST0275,636730.77,699680.54,Home,754.35,0.0,37,34.97,1
CUST0276,1484356.94,1518478.59,Education,692.94,2.0,41,42.69,0
CUST0277,890198.3,915347.55,Education,740.64,1.0,45,25.27,1
CUST0278,423897.77,92739.85,Home,700.69,2.0,38,77.82,0
CUST0279,628192.7,182423.62,Education,715.44,1.0,46,64.77,1
CUST0280,258934.1,288139.68,Education,850.0,0.0,44,47.31,1
CUST0281,721769.84,591190.63,Business,705.7,0.0,34,39.86,1
CUST0282,445768.49,450591.84,Business,592.65,2.0,44,42.71,1
CUST0283,352330.78,56368.63,Car,677.17,2.0,35,76.99,1
CUST0284,1501399.69,716296.98,Education,669.82,0.0,33,62.52,0
CUST0285,1145728.11,372106.58,Other,672.79,0.0,43,77.64,0
CUST0286,1128499.1,1030095.64,Business,751.97,0.0,44,37.93,0
CUST0287,999378.48,755484.73,Other,763.49,3.0,47,57.3,0
CUST0288,329568.22,36852.38,Car,683.13,1.0,44,81.53,0
CUST0289,521499.67,438415.66,Business,599.53,0.0,41,28.32,0
CUST0290,539285.63,512025.77,Education,696.44,1.0,45,27.44,0
CUST0291,253817.87,299160.48,Home,654.68,3.0,39,51.64,1
CUST0292,478483.52,79458.57,Business,703.68,0.0,44,24.27,1
CUST0293,481361.47,593051.21,Education,682.14,2.0,33,18.15,0
CUST0294,696642.09,580256.84,Home,769.06,0.0,36,80.96,0
CUST0295,2617004.29,1800000.0,Home,707.86,0.0,39,88.33,0
CUST0296,642572.35,595710.93,Business,654.89,4.0,38,24.94,1
CUST0297,696839.64,212495.05,Home,599.94,0.0,29,21.99,0
CUST0298,566431.82,224559.12,Home,686.88,1.0,47,32.46,0
CUST0299,975270.09,848741.55,Car,687.11,1.0,38,84.19,1
CUST0300,360077.0,30000.0,Home,672.94,0.0,45,36.65,0
CUST0301,1844185.48,1800000.0,Other,740.4,1.0,28,47.18,1
CUST0302,607094.7,663131.68,Car,600.12,1.0,56,52.94,1
CUST0303,523019.08,503305.56,Education,640.43,0.0,43,49.09,0
CUST0304,1108200.44,537100.18,Other,693.44,1.0,41,94.98,0
CUST0305,398204.2,149006.69,Education,653.63,1.0,52,31.4,0
CUST0306,965417.26,878661.7,Car,666.81,1.0,44,42.76,0
CUST0307,1407845.63,295237.39,Business,686.08,0.0,35,50.55,0
CUST0308,569201.12,415196.14,Car,734.59,1.0,37,43.91,1
CUST0309,2010291.97,1800000.0,Car,683.46,3.0,44,24.46,1
CUST0310,926424.64,425031.28,Business,561.97,1.0,51,21.55,1
CUST0311,932765.85,850255.63,Business,650.82,1.0,47,21.33,0
CUST0312,1377737.99,458456.82,Business,722.23,1.0,52,64.7,0
CUST0313,1593800.33,907650.32,Other,739.57,4.0,37,29.86,0
CUST0314,750683.26,902820.51,Business,743.16,1.0,42,56.9,1
CUST0315,1007543.39,1140892.33,Business,761.58,0.0,38,46.99,1
CUST0316,1401026.11,942030.93,Business,697.7,0.0,51,27.64,1
CUST0317,343084.33,452716.41,Home,707.11,5.0,48,27.99,1
CUST0318,251073.58,122720.91,Car,624.1,3.0,47,48.12,0
CUST0319,629746.72,364058.5,Business,548.65,0.0,47,46.78,0
CUST0320,247782.69,69993.49,Education,597.86,1.0,38,57.55,0
CUST0321,546904.97,551732.26,Home,644.38,1.0,41,35.8,0
CUST0322,772689.9,221443.24,Car,601.62,1.0,48,29.47,0
CUST0323,558565.03,310595.39,Car,670.96,1.0,48,47.54,0
CUST0324,601301.33,288854.67,Education,659.96,0.0,37,91.53,0
CUST0325,374673.8,341396.3,Business,750.96,1.0,48,17.61,0
CUST0326,1002699.67,671314.33,Other,627.01,1.0,41,30.18,1
CUST0327,362153.27,175814.91,Business,699.14,2.0,46,60.45,0
CUST0328,204460.83,60912.63,Business,662.72,1.0,33,50.14,0
CUST0329,579946.6,628083.55,Car,624.57,1.0,49,60.9,1
CUST0330,1075169.2,984752.58,Car,642.7,0.0,43,36.3,0
CUST0331,679175.32,411668.94,Car,556.67,2.0,50,20.1,0
CUST0332,342521.35,238530.3,Education,738.64,2.0,36,103.79,1
CUST0333,687488.7,205303.57,Home,781.15,1.0,48,77.37,0
CUST0334,827194.12,860072.12,Education,,2.0,37,44.46,1
CUST0335,683103.61,434200.24,Education,691.89,3.0,37,29.54,0
CUST0336,561971.44,155023.15,Car,670.77,2.0,44,35.21,1
CUST0337,849199.07,536163.94,Other,636.69,3.0,44,50.46,0
CUST0338,249844.21,370794.83,Education,735.82,3.0,58,39.68,0
CUST0339,397540.53,370163.02,Home,710.74,1.0,44,44.67,0
CUST0340,317065.35,106425.6,Car,500.71,0.0,40,100.66,1
CUST0341,1364556.67,1335257.29,Education,622.75,2.0,43,71.41,1
CUST0342,961591.58,268191.99,Car,556.55,1.0,39,25.06,0
CUST0343,719668.82,68762.51,Home,791.1,0.0,34,46.76,0
CUST0344,292694.81,166100.13,Education,678.83,0.0,50,34.69,0
CUST0345,978727.88,775867.55,Other,705.65,1.0,47,52.23,0
CUST0346,1393493.85,1378803.28,Car,667.04,0.0,46,43.6,0
CUST0347,890064.98,523646.23,Other,761.68,1.0,46,198.44,1
CUST0348,637544.95,214163.09,Business,745.95,3.0,40,55.77,0
CUST0349,920040.12,497202.08,Home,675.99,2.0,39,42.08,0
CUST0350,755270.7,186701.22,Business,801.67,0.0,42,113.09,1
CUST0351,1081727.19,278238.23,Car,702.05,1.0,39,49.87,1
CUST0352,1068487.6,508454.34,Home,595.09,2.0,50,21.06,0
CUST0353,575584.66,321335.04,Business,696.5,0.0,45,42.29,0
CUST0354,451971.72,65958.43,Business,723.63,2.0,40,61.16,1
CUST0355,521688.02,441642.85,Home,681.34,2.0,37,57.34,1
CUST0356,872785.7,89321.81,Other,663.25,0.0,45,74.38,1
CUST0357,539304.61,110393.11,Business,804.68,0.0,35,48.6,0
CUST0358,430170.26,407817.92,Other,612.92,2.0,45,46.91,0
CUST0359,649659.26,67244.68,Car,510.36,1.0,47,22.32,0
CUST0360,1195205.81,889721.48,Other,795.24,2.0,42,96.63,0
CUST0361,700141.04,230528.84,Car,610.31,0.0,36,38.62,0
CUST0362,558387.11,331153.05,Home,671.37,0.0,43,27.57,0
CUST0363,775268.83,214353.26,Business,665.47,1.0,48,167.44,0
CUST0364,680749.18,189298.66,Business,770.06,2.0,41,104.24,0
CUST0365,224409.38,214134.6,Education,783.27,1.0,38,35.97,0
CUST0366,953548.12,1151239.44,Car,606.0,0.0,42,17.57,1
CUST0367,813279.23,90906.45,Home,778.2,1.0,48,31.42,0
CUST0368,655807.21,316913.64,Education,777.0,2.0,45,99.11,0
CUST0369,1165923.26,1083651.14,Car,691.26,1.0,33,49.16,1
CUST0370,1266638.74,850185.94,Education,750.62,1.0,48,22.92,1
CUST0371,1008576.42,911292.06,Car,757.13,0.0,33,66.6,0
CUST0372,407201.0,68777.74,Other,673.59,2.0,41,40.52,0
CUST0373,415021.88,466856.2,Education,679.76,1.0,41,32.53,0
CUST0374,1201717.32,667907.36,Business,728.31,3.0,37,33.79,1
CUST0375,231481.33,121377.63,Other,584.15,0.0,39,86.48,1
CUST0376,598906.94,544681.23,Education,667.0,0.0,49,59.14,0
CUST0377,827886.9,617270.02,Home,611.98,1.0,32,21.41,0
CUST0378,248203.29,121606.89,Home,782.53,1.0,41,54.07,1
CUST0379,739416.34,593686.54,Business,666.24,1.0,37,47.49,0
CUST0380,1098727.92,832973.54,Home,707.96,2.0,59,36.47,0
CUST0381,287121.52,84153.5,Education,675.8,1.0,43,37.44,0
CUST0382,1618032.16,1444240.46,Home,671.57,1.0,49,29.2,0
CUST0383,372995.3,47953.94,Home,703.71,2.0,59,32.31,0
CUST0384,891653.23,904682.82,Car,642.51,0.0,43,52.01,0
CUST0385,620790.91,628451.83,Other,677.1,1.0,43,39.17,0
CUST0386,675333.04,349665.51,Education,676.62,1.0,46,59.12,0
CUST0387,320874.49,230434.98,Other,662.49,2.0,40,30.39,0
CUST0388,1300146.84,296772.61,Other,715.42,0.0,44,64.1,0
CUST0389,777596.9,166690.73,Home,660.95,1.0,34,86.82,0
CUST0390,1585150.22,1800000.0,Car,794.72,2.0,35,44.85,1
CUST0391,325509.91,61583.02,Business,730.88,1.0,41,58.38,0
CUST0392,588333.12,398330.47,Business,602.29,1.0,44,59.53,1
CUST0393,729393.56,864671.3,Car,725.81,2.0,42,35.01,1
